Rk,Player,Nation,Pos,Squad,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G_PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G+A,Per_90_Minutes_G_PK,Per_90_Minutes_G+A_PK,Per_90_Minutes_xG,Per_90_Minutes_xAG,Per_90_Minutes_xG+xAG,Per_90_Minutes_npxG,Per_90_Minutes_npxG+xAG,Age
1,Max Aarons,eng ENG,DF,Bournemouth,2000.0,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2,Joshua Acheampong,eng ENG,DF,Chelsea,2006.0,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,19.0
3,Tyler Adams,us USA,MF,Bournemouth,1999.0,26,19,1785,19.8,0,3,3,0,0,0,7,0,1.6,1.6,1.0,2.5,13,69,9,0.0,0.15,0.15,0.0,0.15,0.08,0.05,0.13,0.08,0.13,26.0
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,1997.0,20,13,1229,13.7,1,1,2,1,0,0,3,0,0.9,0.9,0.2,1.1,5,37,1,0.07,0.07,0.15,0.07,0.15,0.07,0.02,0.08,0.07,0.08,27.0
5,Simon Adingra,ci CIV,"FW,MF",Brighton,2002.0,27,10,988,11.0,2,2,4,2,0,0,0,0,2.2,2.2,2.3,4.6,41,15,120,0.18,0.18,0.36,0.18,0.36,0.2,0.21,0.42,0.2,0.42,23.0
6,Emmanuel Agbadou,ci CIV,DF,Wolves,1997.0,14,14,1230,13.7,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,3,24,2,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,27.0
7,Asher Agbinone,eng ENG,MF,Crystal Palace,2005.0,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.29,0.5,0.79,0.29,0.79,19.0
8,Ola Aina,ng NGA,DF,Nott'ham Forest,1996.0,33,33,2823,31.4,2,1,3,2,0,0,4,0,0.6,0.6,1.1,1.8,63,103,59,0.06,0.03,0.1,0.06,0.1,0.02,0.04,0.06,0.02,0.06,28.0
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,2001.0,35,35,2955,32.8,4,7,11,4,0,0,7,1,2.6,2.6,5.0,7.6,86,104,163,0.12,0.21,0.34,0.12,0.34,0.08,0.15,0.23,0.08,0.23,23.0
10,Kristoffer Ajer,no NOR,DF,Brentford,1998.0,22,17,1405,15.6,0,0,0,0,0,0,5,0,0.8,0.8,1.2,2.1,27,54,42,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,27.0
11,Manuel Akanji,ch SUI,DF,Manchester City,1995.0,24,21,1834,20.4,0,0,0,0,0,0,3,0,1.1,1.1,0.4,1.5,41,150,6,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,29.0
12,Nathan Aké,nl NED,DF,Manchester City,1995.0,10,8,678,7.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,30.0
13,Carlos Alcaraz,ar ARG,MF,Southampton,2002.0,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.0,0.0,0.0,0.0,0.0,0.62,0.86,1.48,0.62,1.48,22.0
14,Carlos Alcaraz,ar ARG,"FW,MF",Everton,2002.0,13,6,663,7.4,1,3,4,1,0,0,4,0,1.4,1.4,1.6,3.1,16,40,20,0.14,0.41,0.54,0.14,0.54,0.2,0.22,0.42,0.2,0.42,22.0
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,1998.0,32,28,2320,25.8,3,6,9,3,0,0,5,0,1.9,1.9,6.7,8.6,50,228,90,0.12,0.23,0.35,0.12,0.35,0.07,0.26,0.33,0.07,0.33,26.0
16,Alisson,br BRA,GK,Liverpool,1992.0,26,26,2328,25.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,32.0
17,Miguel Almirón,py PAR,FW,Newcastle Utd,1994.0,9,1,157,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0.0,0.0,0.0,0.0,0.0,0.3,0.15,0.45,0.3,0.45,31.0
18,Edson Álvarez,mx MEX,MF,West Ham,1997.0,26,19,1660,18.4,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,22,76,18,0.0,0.05,0.05,0.0,0.05,0.02,0.04,0.06,0.02,0.06,27.0
19,Will Alves,eng ENG,FW,Leicester City,2005.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
